87910026500,0.03775,0.00554,0.09574,0.08556,0.99365,-0.01722,0.07095,-0.00713,-0.01057,0.06347,
87990550500,0.06166,0.00668,0.18279,0.10633,0.98906,-0.02359,0.09949,-0.01412,-0.01960,0.09411,
99203924500,0.02152,0.04515,0.32006,0.10974,0.98129,-0.01400,0.15755,-0.05146,0.02402,0.17349,
118633564500,0.04331,-0.00258,0.06300,0.25569,0.95231,0.02096,-0.16517,0.04996,-0.03083,0.01204,
120261532500,0.06230,-0.02058,0.13657,-0.00977,0.99941,-0.03003,-0.01378,-0.10398,0.07676,0.11700,
120359549500,0.13421,-0.01914,0.20335,-0.03359,0.99851,-0.03383,0.02655,-0.16061,0.10711,0.15310,
120434623500,0.14710,-0.01987,0.21904,-0.03148,0.99843,-0.03524,0.03015,-0.22113,0.13250,0.14889,
120535535500,0.13483,-0.00386,0.26298,-0.03768,0.99817,-0.04018,0.02493,-0.31955,0.18803,0.15447,
121861400500,0.02259,-0.02464,0.01136,0.03472,0.99797,-0.01175,-0.05203,-0.05710,-0.02126,0.07155,
121984413500,0.00379,-0.00792,-0.02106,0.03221,0.99807,-0.01637,-0.05055,-0.11925,-0.01554,0.04847,
122061554500,0.00386,-0.01316,-0.03481,0.03022,0.99805,-0.01702,-0.05191,-0.11391,-0.02758,0.03377,
122153328500,-0.01710,0.01495,-0.07841,0.03012,0.99727,-0.02329,-0.06328,-0.15598,0.03484,-0.00432,
122261590500,-0.04030,0.02901,-0.08875,0.00518,0.99771,-0.02921,-0.06080,-0.17589,0.04473,-0.00022,
122336990500,-0.05067,0.03840,-0.09742,-0.00473,0.99741,-0.03228,-0.06418,-0.18773,0.05793,-0.01501,
122443355500,-0.06681,0.05029,-0.11015,-0.01841,0.99726,-0.02983,-0.06519,-0.21623,0.07684,-0.05679,
122654413500,-0.11463,0.07606,-0.12858,-0.02935,0.99755,-0.01046,-0.06271,-0.28749,0.13246,-0.06626,
122719920500,-0.13025,0.09093,-0.13247,-0.04807,0.99758,-0.00632,-0.04986,-0.31183,0.15142,-0.05851,
122817860500,-0.16464,0.10841,-0.13607,-0.05162,0.99844,0.00324,-0.02106,-0.38996,0.16261,-0.03198,
122921160500,-0.20307,0.13219,-0.13415,-0.05045,0.99856,0.01239,0.01307,-0.48778,0.16428,0.01227,
123025242500,-0.21604,0.18518,-0.13778,-0.06178,0.99730,0.01977,0.03454,-0.55205,0.20311,0.03138,
123135587500,-0.27779,0.23555,-0.13179,-0.05815,0.99633,0.02970,0.05533,-0.72614,0.22771,0.07643,
123209377500,-0.32271,0.27104,-0.12540,-0.05304,0.99539,0.03397,0.07237,-0.82279,0.25523,0.11112,
123311359500,-0.38732,0.31160,-0.11337,-0.04813,0.99363,0.03665,0.09503,-0.94416,0.28487,0.16402,
125685629500,0.14345,0.03696,0.01066,0.03625,0.99181,-0.03498,-0.11736,-0.14341,0.02546,-0.06648,
125765536500,0.28052,0.04980,-0.05797,0.02177,0.99227,-0.03219,-0.11784,0.01007,0.08036,-0.11442,
